ID,Make,Model,Year,Mileage,Engine,NumCylinders,pricesold,zipcode,Trim,yearsold
1,Mercedes,C-Class,1989,8400,Hybrid,6,6052,79896,Luxury,2023
2,Chevrolet,Sportage,2006,118858,1.8L I4,8,36506,45270,Base,2023
3,Nissan,Altima,2006,174714,Electric,4,29074,69163,Luxury,2023
4,Hyundai,Corolla,1998,16151,2.0L I4,8,39155,92637,Base,2023
5,Mercedes,Altima,2015,183479,1.8L I4,8,41770,61934,Limited,2023
6,Volkswagen,Altima,1986,67690,2.5L I4,6,33320,74895,Sport,2023
7,Ford,Focus,2013,5499,2.0L I4,8,39304,42307,Base,2023
8,Mercedes,Corolla,1976,7295,3.0L V6,6,47247,64098,Luxury,2023
9,Nissan,Altima,1977,121885,1.8L I4,4,4913,70921,Limited,2023
10,Hyundai,Focus,2011,127071,2.0L Turbo,6,18450,15486,Base,2023
11,Chevrolet,Focus,1991,60040,2.0L I4,4,25107,18335,Base,2023
12,Nissan,Corolla,1976,13183,2.5L I4,6,21764,96900,Limited,2023
13,Nissan,Elantra,1976,161371,1.5L I4,8,44404,99112,Base,2023
14,Ford,Jetta,2002,144946,Hybrid,8,21491,21130,Sport,2023
15,BMW,C-Class,1997,117336,4.0L V8,4,39494,97508,Base,2023
16,Hyundai,Jetta,2011,33711,2.2L Diesel,4,4373,70566,Sport,2023
17,Honda,Sportage,2006,6539,4.0L V8,4,13161,76703,Sport,2023
18,Nissan,C-Class,2007,185423,2.5L I4,6,32996,37192,Limited,2023
19,BMW,Sportage,1975,193339,Electric,6,28122,11062,Base,2023
20,Honda,Altima,1993,180426,Electric,4,35850,94076,Limited,2023
21,Hyundai,Civic,1976,127063,1.5L I4,8,28350,99780,Base,2023
22,Toyota,Corolla,2018,134629,2.2L Diesel,6,28472,31545,Base,2023
23,Volkswagen,C-Class,2000,39360,2.0L Turbo,6,29761,31689,Luxury,2023
24,BMW,C-Class,2006,134272,1.5L I4,6,26351,21174,Base,2023
25,Kia,Altima,1980,179047,4.0L V8,4,24132,98461,Limited,2023
26,Toyota,Elantra,2006,22357,1.5L I4,4,16305,19348,Sport,2023
27,Volkswagen,Focus,1978,120121,4.0L V8,4,10817,33714,Base,2023
28,Ford,Altima,1985,78505,2.0L I4,4,12261,48102,Luxury,2023
29,Mercedes,3 Series,1991,3869,Electric,4,1417,84460,Limited,2023
30,Chevrolet,Focus,2012,193207,2.0L I4,8,42576,99930,Base,2023
31,Kia,Corolla,1998,51108,Hybrid,8,21358,16801,Limited,2023
32,Ford,Focus,1979,113296,2.2L Diesel,4,4267,82267,Luxury,2023
33,Hyundai,Elantra,2008,95179,2.0L Turbo,6,18209,58136,Luxury,2023
34,Ford,Focus,1980,91272,4.0L V8,4,25052,33625,Limited,2023
35,Mercedes,Corolla,1996,39467,2.0L Turbo,8,39513,92873,Base,2023
36,Hyundai,Elantra,1985,24328,4.0L V8,8,27092,82592,Sport,2023
37,Kia,Jetta,2022,92412,2.5L I4,6,12338,87052,Luxury,2023
